date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
152,2021-01-07 07:00:00,2021,1,7,7,Morning,1,1,3,Winter,False
153,2021-01-07 08:00:00,2021,1,7,8,Morning,1,1,3,Winter,False
154,2021-01-07 09:00:00,2021,1,7,9,Morning,1,1,3,Winter,False
155,2021-01-07 10:00:00,2021,1,7,10,Morning,1,1,3,Winter,False
156,2021-01-07 11:00:00,2021,1,7,11,Morning,1,1,3,Winter,False
157,2021-01-07 12:00:00,2021,1,7,12,Afternoon,1,1,3,Winter,False
158,2021-01-07 13:00:00,2021,1,7,13,Afternoon,1,1,3,Winter,False
159,2021-01-07 14:00:00,2021,1,7,14,Afternoon,1,1,3,Winter,False
160,2021-01-07 15:00:00,2021,1,7,15,Afternoon,1,1,3,Winter,False
161,2021-01-07 16:00:00,2021,1,7,16,Afternoon,1,1,3,Winter,False
162,2021-01-07 17:00:00,2021,1,7,17,Afternoon,1,1,3,Winter,False
163,2021-01-07 18:00:00,2021,1,7,18,Evening,1,1,3,Winter,False
164,2021-01-07 19:00:00,2021,1,7,19,Evening,1,1,3,Winter,False
165,2021-01-07 20:00:00,2021,1,7,20,Evening,1,1,3,Winter,False
166,2021-01-07 21:00:00,2021,1,7,21,Night,1,1,3,Winter,False
167,2021-01-07 22:00:00,2021,1,7,22,Night,1,1,3,Winter,False
168,2021-01-07 23:00:00,2021,1,7,23,Night,1,1,3,Winter,False
169,2021-01-08 00:00:00,2021,1,8,0,Night,1,1,4,Winter,False
170,2021-01-08 01:00:00,2021,1,8,1,Night,1,1,4,Winter,False
171,2021-01-08 02:00:00,2021,1,8,2,Night,1,1,4,Winter,False
172,2021-01-08 03:00:00,2021,1,8,3,Night,1,1,4,Winter,False
173,2021-01-08 04:00:00,2021,1,8,4,Night,1,1,4,Winter,False
174,2021-01-08 05:00:00,2021,1,8,5,Morning,1,1,4,Winter,False
175,2021-01-08 06:00:00,2021,1,8,6,Morning,1,1,4,Winter,False
176,2021-01-08 07:00:00,2021,1,8,7,Morning,1,1,4,Winter,False
177,2021-01-08 08:00:00,2021,1,8,8,Morning,1,1,4,Winter,False
178,2021-01-08 09:00:00,2021,1,8,9,Morning,1,1,4,Winter,False
179,2021-01-08 10:00:00,2021,1,8,10,Morning,1,1,4,Winter,False
180,2021-01-08 11:00:00,2021,1,8,11,Morning,1,1,4,Winter,False
181,2021-01-08 12:00:00,2021,1,8,12,Afternoon,1,1,4,Winter,False
182,2021-01-08 13:00:00,2021,1,8,13,Afternoon,1,1,4,Winter,False
183,2021-01-08 14:00:00,2021,1,8,14,Afternoon,1,1,4,Winter,False
184,2021-01-08 15:00:00,2021,1,8,15,Afternoon,1,1,4,Winter,False
185,2021-01-08 16:00:00,2021,1,8,16,Afternoon,1,1,4,Winter,False
186,2021-01-08 17:00:00,2021,1,8,17,Afternoon,1,1,4,Winter,False
187,2021-01-08 18:00:00,2021,1,8,18,Evening,1,1,4,Winter,False
188,2021-01-08 19:00:00,2021,1,8,19,Evening,1,1,4,Winter,False
189,2021-01-08 20:00:00,2021,1,8,20,Evening,1,1,4,Winter,False
190,2021-01-08 21:00:00,2021,1,8,21,Night,1,1,4,Winter,False
191,2021-01-08 22:00:00,2021,1,8,22,Night,1,1,4,Winter,False
192,2021-01-08 23:00:00,2021,1,8,23,Night,1,1,4,Winter,False
193,2021-01-09 00:00:00,2021,1,9,0,Night,1,1,5,Winter,False
194,2021-01-09 01:00:00,2021,1,9,1,Night,1,1,5,Winter,False
195,2021-01-09 02:00:00,2021,1,9,2,Night,1,1,5,Winter,False
196,2021-01-09 03:00:00,2021,1,9,3,Night,1,1,5,Winter,False
197,2021-01-09 04:00:00,2021,1,9,4,Night,1,1,5,Winter,False
198,2021-01-09 05:00:00,2021,1,9,5,Morning,1,1,5,Winter,False
199,2021-01-09 06:00:00,2021,1,9,6,Morning,1,1,5,Winter,False
200,2021-01-09 07:00:00,2021,1,9,7,Morning,1,1,5,Winter,False
201,2021-01-09 08:00:00,2021,1,9,8,Morning,1,1,5,Winter,False
202,2021-01-09 09:00:00,2021,1,9,9,Morning,1,1,5,Winter,False
203,2021-01-09 10:00:00,2021,1,9,10,Morning,1,1,5,Winter,False
204,2021-01-09 11:00:00,2021,1,9,11,Morning,1,1,5,Winter,False
205,2021-01-09 12:00:00,2021,1,9,12,Afternoon,1,1,5,Winter,False
206,2021-01-09 13:00:00,2021,1,9,13,Afternoon,1,1,5,Winter,False
207,2021-01-09 14:00:00,2021,1,9,14,Afternoon,1,1,5,Winter,False
208,2021-01-09 15:00:00,2021,1,9,15,Afternoon,1,1,5,Winter,False
209,2021-01-09 16:00:00,2021,1,9,16,Afternoon,1,1,5,Winter,False
210,2021-01-09 17:00:00,2021,1,9,17,Afternoon,1,1,5,Winter,False
211,2021-01-09 18:00:00,2021,1,9,18,Evening,1,1,5,Winter,False
212,2021-01-09 19:00:00,2021,1,9,19,Evening,1,1,5,Winter,False
213,2021-01-09 20:00:00,2021,1,9,20,Evening,1,1,5,Winter,False
214,2021-01-09 21:00:00,2021,1,9,21,Night,1,1,5,Winter,False
215,2021-01-09 22:00:00,2021,1,9,22,Night,1,1,5,Winter,False
216,2021-01-09 23:00:00,2021,1,9,23,Night,1,1,5,Winter,False
217,2021-01-10 00:00:00,2021,1,10,0,Night,1,1,6,Winter,False
218,2021-01-10 01:00:00,2021,1,10,1,Night,1,1,6,Winter,False
219,2021-01-10 02:00:00,2021,1,10,2,Night,1,1,6,Winter,False
220,2021-01-10 03:00:00,2021,1,10,3,Night,1,1,6,Winter,False
221,2021-01-10 04:00:00,2021,1,10,4,Night,1,1,6,Winter,False
222,2021-01-10 05:00:00,2021,1,10,5,Morning,1,1,6,Winter,False
223,2021-01-10 06:00:00,2021,1,10,6,Morning,1,1,6,Winter,False
224,2021-01-10 07:00:00,2021,1,10,7,Morning,1,1,6,Winter,False
225,2021-01-10 08:00:00,2021,1,10,8,Morning,1,1,6,Winter,False
226,2021-01-10 09:00:00,2021,1,10,9,Morning,1,1,6,Winter,False
227,2021-01-10 10:00:00,2021,1,10,10,Morning,1,1,6,Winter,False
228,2021-01-10 11:00:00,2021,1,10,11,Morning,1,1,6,Winter,False
229,2021-01-10 12:00:00,2021,1,10,12,Afternoon,1,1,6,Winter,False
230,2021-01-10 13:00:00,2021,1,10,13,Afternoon,1,1,6,Winter,False
231,2021-01-10 14:00:00,2021,1,10,14,Afternoon,1,1,6,Winter,False
232,2021-01-10 15:00:00,2021,1,10,15,Afternoon,1,1,6,Winter,False
233,2021-01-10 16:00:00,2021,1,10,16,Afternoon,1,1,6,Winter,False
234,2021-01-10 17:00:00,2021,1,10,17,Afternoon,1,1,6,Winter,False
235,2021-01-10 18:00:00,2021,1,10,18,Evening,1,1,6,Winter,False
236,2021-01-10 19:00:00,2021,1,10,19,Evening,1,1,6,Winter,False
237,2021-01-10 20:00:00,2021,1,10,20,Evening,1,1,6,Winter,False
238,2021-01-10 21:00:00,2021,1,10,21,Night,1,1,6,Winter,False
239,2021-01-10 22:00:00,2021,1,10,22,Night,1,1,6,Winter,False
240,2021-01-10 23:00:00,2021,1,10,23,Night,1,1,6,Winter,False
241,2021-01-11 00:00:00,2021,1,11,0,Night,1,2,0,Winter,False
242,2021-01-11 01:00:00,2021,1,11,1,Night,1,2,0,Winter,False
243,2021-01-11 02:00:00,2021,1,11,2,Night,1,2,0,Winter,False
244,2021-01-11 03:00:00,2021,1,11,3,Night,1,2,0,Winter,False
245,2021-01-11 04:00:00,2021,1,11,4,Night,1,2,0,Winter,False
246,2021-01-11 05:00:00,2021,1,11,5,Morning,1,2,0,Winter,False
247,2021-01-11 06:00:00,2021,1,11,6,Morning,1,2,0,Winter,False
248,2021-01-11 07:00:00,2021,1,11,7,Morning,1,2,0,Winter,False
249,2021-01-11 08:00:00,2021,1,11,8,Morning,1,2,0,Winter,False
250,2021-01-11 09:00:00,2021,1,11,9,Morning,1,2,0,Winter,False
251,2021-01-11 10:00:00,2021,1,11,10,Morning,1,2,0,Winter,False
252,2021-01-11 11:00:00,2021,1,11,11,Morning,1,2,0,Winter,False
253,2021-01-11 12:00:00,2021,1,11,12,Afternoon,1,2,0,Winter,False
254,2021-01-11 13:00:00,2021,1,11,13,Afternoon,1,2,0,Winter,False
255,2021-01-11 14:00:00,2021,1,11,14,Afternoon,1,2,0,Winter,False
256,2021-01-11 15:00:00,2021,1,11,15,Afternoon,1,2,0,Winter,False
257,2021-01-11 16:00:00,2021,1,11,16,Afternoon,1,2,0,Winter,False
258,2021-01-11 17:00:00,2021,1,11,17,Afternoon,1,2,0,Winter,False
259,2021-01-11 18:00:00,2021,1,11,18,Evening,1,2,0,Winter,False
260,2021-01-11 19:00:00,2021,1,11,19,Evening,1,2,0,Winter,False
261,2021-01-11 20:00:00,2021,1,11,20,Evening,1,2,0,Winter,False
262,2021-01-11 21:00:00,2021,1,11,21,Night,1,2,0,Winter,False
263,2021-01-11 22:00:00,2021,1,11,22,Night,1,2,0,Winter,False
264,2021-01-11 23:00:00,2021,1,11,23,Night,1,2,0,Winter,False
265,2021-01-12 00:00:00,2021,1,12,0,Night,1,2,1,Winter,False
266,2021-01-12 01:00:00,2021,1,12,1,Night,1,2,1,Winter,False
267,2021-01-12 02:00:00,2021,1,12,2,Night,1,2,1,Winter,False
268,2021-01-12 03:00:00,2021,1,12,3,Night,1,2,1,Winter,False
269,2021-01-12 04:00:00,2021,1,12,4,Night,1,2,1,Winter,False
